X1,Y1,Z1,X2,Y2,Z2
754.5,1252.5,86.25,768,1246.5,71.25
768,1246.5,71.25,775.5,1236,97.5
775.5,1236,97.5,768,1228.5,116.25
768,1228.5,116.25,763.5,1195.5,82.5
763.5,1195.5,82.5,771,1198.5,56.25
771,1198.5,56.25,801,1200,33.75
801,1200,33.75,795,1215,30
801,1200,33.75,822,1182,48.75
822,1182,48.75,828,1182,48.75
828,1182,48.75,835.5,1162.5,30
828,1182,48.75,853.5,1200,52.5
853.5,1200,52.5,877.5,1222.5,30
853.5,1200,52.5,876,1236,116.25
876,1236,116.25,874.5,1252.5,97.5
874.5,1252.5,97.5,859.5,1248,75
859.5,1248,75,871.5,1248,30
859.5,1248,75,834,1249.5,78.75
834,1249.5,78.75,816,1246.5,90
816,1246.5,90,834,1249.5,78.75
816,1246.5,90,810,1248,93.75
810,1248,93.75,787.5,1246.5,108.75
787.5,1246.5,108.75,775.5,1236,97.5
787.5,1246.5,108.75,789,1249.5,120
789,1249.5,120,790.5,1255.5,120
790.5,1255.5,120,783,1266,116.25
790.5,1255.5,120,798,1255.5,120
798,1255.5,120,808.5,1251,101.25
808.5,1251,101.25,820.5,1275,120
820.5,1275,120,832.5,1306.5,116.25
832.5,1306.5,116.25,777,1321.5,30
832.5,1306.5,116.25,837,1312.5,131.25
837,1312.5,131.25,870,1321.5,116.25
870,1321.5,116.25,864,1302,71.25
864,1302,71.25,865.5,1314,30
864,1302,71.25,897,1278,82.5
897,1278,82.5,910.5,1285.5,30
897,1278,82.5,900,1281,90
900,1281,90,956.860046,1299.023438,153.716095
956.860046,1299.023438,153.716095,882.967407,1303.051025,180.242081
882.967407,1303.051025,180.242081,912,1339.5,191.25
912,1339.5,191.25,948,1378.5,180
912,1339.5,191.25,918,1341,202.5
918,1341,202.5,957,1372.5,195
918,1341,202.5,946.42395,1305.538208,217.355728
946.42395,1305.538208,217.355728,918,1237.5,202.5
918,1237.5,202.5,865.5,1189.5,180
865.5,1189.5,180,864,1192.5,165
864,1192.5,165,834,1183.5,135
834,1183.5,135,820.5,1168.5,71.25
820.5,1168.5,71.25,822,1182,48.75
820.5,1168.5,71.25,819,1125,90
819,1125,90,784.681824,1170.560181,123.34008
784.681824,1170.560181,123.34008,766.5,1164,161.25
766.5,1164,161.25,808.5,1131,153.75
808.5,1131,153.75,822,1138.5,131.25
822,1138.5,131.25,831,1131,123.75
831,1131,123.75,822,1120.5,105
822,1120.5,105,793.5,1096.5,82.5
793.5,1096.5,82.5,775.474609,1104.986938,35.633488
775.474609,1104.986938,35.633488,745.5,1095,30
793.5,1096.5,82.5,777,1093.5,97.5
777,1093.5,97.5,761.277161,1111.287476,75.007164
761.277161,1111.287476,75.007164,763.5,1195.5,82.5
777,1093.5,97.5,777,1102.5,123.75
777,1102.5,123.75,642,1096.5,187.5
642,1096.5,187.5,627,1078.5,146.25
627,1078.5,146.25,646.5,1095,116.25
646.5,1095,116.25,699,1144.5,60
699,1144.5,60,751.5,1111.5,30
699,1144.5,60,730.5,1203,30
646.5,1095,116.25,630,1081.5,93.75
630,1081.5,93.75,598.5,1120.5,97.5
598.5,1120.5,97.5,547.17926,1084.930542,80.928444
547.17926,1084.930542,80.928444,513,1122,30
598.5,1120.5,97.5,600,1143,123.75
600,1143,123.75,595.5,1141.5,120
595.5,1141.5,120,583.5,1156.5,101.25
583.5,1156.5,101.25,577.5,1161,97.5
577.5,1161,97.5,532.5047,1150.371094,101.349976
532.5047,1150.371094,101.349976,517.5,1191,101.25
517.5,1191,101.25,495,1186.5,86.25
495,1186.5,86.25,490.5,1186.5,60
490.5,1186.5,60,520.5,1162.5,41.25
520.5,1162.5,41.25,511.5,1126.5,30
520.5,1162.5,41.25,573,1197,30
490.5,1186.5,60,483,1191,56.25
483,1191,56.25,505.5,1218,30
483,1191,56.25,372,1258.5,45
372,1258.5,45,339,1240.5,41.25
339,1240.5,41.25,334.5,1216.5,41.25
334.5,1216.5,41.25,334.5,1203,60
334.5,1203,60,256.5,1215,56.25
256.5,1215,56.25,249,1215,45
249,1215,45,247.5,1237.5,48.75
247.5,1237.5,48.75,271.5,1251,60
271.5,1251,60,327,1239,52.5
327,1239,52.5,334.5,1216.5,41.25
327,1239,52.5,339,1240.5,41.25
271.5,1251,60,279,1281,71.25
279,1281,71.25,298.5,1297.5,97.5
298.5,1297.5,97.5,316.5,1273.5,120
316.5,1273.5,120,289.5,1264.5,135
289.5,1264.5,135,289.5,1303.5,120
289.5,1303.5,120,298.5,1297.5,97.5
289.5,1303.5,120,297,1324.5,116.25
297,1324.5,116.25,330,1321.5,108.75
330,1321.5,108.75,358.5,1296,108.75
358.5,1296,108.75,363,1240.5,105
363,1240.5,105,382.5,1255.5,71.25
