Node,X,Y,Z
244,445.5,1278,161.25
245,441,1278,150
246,417,1275,165
247,370.5,1290,120
248,349.5,1278,138.75
249,327,1267.5,150
250,316.5,1275,180
251,330,1299,172.5
252,346.5,1287,150
253,373.5,1300.5,191.25
254,366,1294.5,120
255,351,1312.5,202.5
256,358.5,1320,217.5
257,361.5,1335,191.25
258,371.902832,1332.966431,139.245804
259,372,1357.5,135
260,444,1381.5,108.75
261,498,1366.5,105
262,531,1351.5,86.25
263,571.5,1374,75
264,588,1398,71.25
265,585,1423.5,30
266,610.5,1395,82.5
267,618,1402.5,82.5
268,639.399109,1430.320557,48.468552
269,654.196594,1474.288452,60.000431
270,650.761719,1397.671021,130.302109
271,663,1345.5,191.25
272,637.5,1353,165
273,603,1387.5,131.25
274,561,1387.5,101.25
275,567,1375.5,78.75
276,558,1389,97.5
277,538.5,1404,78.75
278,534,1422,30
279,511.5,1429.5,105
280,490.5,1434,82.5
281,490.5,1441.5,71.25
282,492,1437,37.5
283,472.5,1464,71.25
284,478.5,1483.5,60
285,513,1510.5,37.5
286,526.5,1488,30
287,514.5,1500,63.75
288,511.5,1488,86.25
289,480,1482,105
290,472.5,1485,93.75
291,468,1489.5,97.5
292,457.5,1536,75
293,478.652008,1578.098511,62.413334
294,457.5,1617,30
295,412.5,1524,60
296,396,1558.5,30
297,383.326935,1525.316284,90.1474
298,430.5,1530,112.5
299,436.5,1581,90
300,405,1618.5,30
301,388.862671,1536.435547,142.886978
302,387,1522.5,191.25
303,376.614166,1511.700439,166.738678
304,346.5,1449,168.75
305,331.5,1452,135
306,333,1434,127.5
307,303,1404,82.5
308,300,1410,60
309,285,1422,41.25
310,262.5,1429.5,30
311,274.5,1363.5,93.75
312,250.5,1360.5,86.25
313,222,1353,86.25
314,210,1381.5,90
315,229.5,1359,105
316,231,1339.5,120
317,222,1330.5,120
318,210,1297.5,105
319,181.5,1296,75
320,225,1336.5,30
321,166.5,1264.5,67.5
322,168,1269,45
323,159,1294.5,30
324,223.5,1204.5,41.25
325,219,1197,45
326,250.5,1164,45
327,255,1156.5,30
328,213,1089,60
329,226.5,1066.5,60
330,225,1059,52.5
331,225,1045.5,37.5
332,214.5,1053,30
333,219,1018.5,45
334,211.5,1012.5,52.5
335,205.5,1009.5,52.5
336,187.5,985.5,30
337,84,907.5,30
338,145.5,1006.5,33.75
339,118.5,1017,30
340,187.5,1006.5,63.75
341,223.5,997.5,97.5
342,238.5,1003.5,93.75
343,264,996,52.5
344,220.5,960,30
345,283.5,999,67.5
346,315,993,45
347,324,939,67.5
348,409.002289,950.905945,97.159798
349,438.616425,929.905334,119.62558
350,414,898.5,112.5
